SigmaEOverEShift nominal: 0.067 up: 0.068 down: 0.068 vals: [1.007,1.011] 
SigmaEOverEShift nominal: 0.034 up: 0.033 down: 0.036 vals: [1.057,0.991] 
SigmaEOverEShift nominal: 0.054 up: 0.054 down: 0.055 vals: [1.020,0.997] 
SigmaEOverEShift nominal: 0.003 up: 0.003 down: 0.003 vals: [1.003,0.976] 
SigmaEOverEShift nominal: 0.541 up: 0.539 down: 0.543 vals: [1.005,0.997] 
SigmaEOverEShift nominal: 0.010 up: 0.010 down: 0.010 vals: [1.000,1.006] 
SigmaEOverEShift nominal: 0.013 up: 0.013 down: 0.013 vals: [1.014,0.979] 
SigmaEOverEShift nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
SigmaEOverEShift nominal: 0.000 up: 0.000 down: 0.000 vals: [1.000,1.000] 
SigmaEOverEShift nominal: 0.216 up: 0.216 down: 0.216 vals: [1.002,1.001] 
SigmaEOverEShift nominal: 0.007 up: 0.007 down: 0.007 vals: [1.000,1.000] 
SigmaEOverEShift nominal: 0.003 up: 0.003 down: 0.003 vals: [1.000,1.000] 
PreselSF nominal: 1.536 up: 1.547 down: 1.524 vals: [0.993,1.007] 
PreselSF nominal: 0.203 up: 0.204 down: 0.201 vals: [0.993,1.007] 
PreselSF nominal: 0.047 up: 0.047 down: 0.046 vals: [0.993,1.007] 
PreselSF nominal: 0.150 up: 0.151 down: 0.149 vals: [0.993,1.007] 
PreselSF nominal: 0.080 up: 0.081 down: 0.080 vals: [0.993,1.007] 
PreselSF nominal: 25.466 up: 25.680 down: 25.254 vals: [0.992,1.008] 
PreselSF nominal: 2.104 up: 2.125 down: 2.083 vals: [0.990,1.010] 
PreselSF nominal: 0.233 up: 0.235 down: 0.230 vals: [0.989,1.011] 
PreselSF nominal: 1.100 up: 1.113 down: 1.088 vals: [0.989,1.011] 
PreselSF nominal: 0.626 up: 0.633 down: 0.619 vals: [0.989,1.011] 
PreselSF nominal: 38.348 up: 38.832 down: 37.868 vals: [0.987,1.013] 
PreselSF nominal: 2.020 up: 2.051 down: 1.989 vals: [0.985,1.016] 
PreselSF nominal: 0.152 up: 0.154 down: 0.150 vals: [0.986,1.014] 
PreselSF nominal: 1.006 up: 1.024 down: 0.989 vals: [0.983,1.017] 
PreselSF nominal: 0.541 up: 0.550 down: 0.532 vals: [0.984,1.016] 
PreselSF nominal: 37.723 up: 38.595 down: 36.861 vals: [0.977,1.023] 
PreselSF nominal: 1.724 up: 1.767 down: 1.681 vals: [0.975,1.025] 
PreselSF nominal: 0.162 up: 0.165 down: 0.159 vals: [0.981,1.020] 
PreselSF nominal: 0.839 up: 0.861 down: 0.818 vals: [0.974,1.026] 
PreselSF nominal: 0.475 up: 0.487 down: 0.463 vals: [0.975,1.025] 
PreselSF nominal: 1.027 up: 1.039 down: 1.015 vals: [0.988,1.012] 
PreselSF nominal: 1.848 up: 1.871 down: 1.825 vals: [0.987,1.013] 
PreselSF nominal: 0.011 up: 0.011 down: 0.010 vals: [0.991,1.009] 
PreselSF nominal: 0.020 up: 0.020 down: 0.020 vals: [0.989,1.011] 
PreselSF nominal: 0.006 up: 0.006 down: 0.006 vals: [0.988,1.012] 
PreselSF nominal: 2.102 up: 2.130 down: 2.074 vals: [0.987,1.013] 
PreselSF nominal: 1.725 up: 1.752 down: 1.699 vals: [0.985,1.015] 
PreselSF nominal: 0.027 up: 0.028 down: 0.027 vals: [0.988,1.012] 
PreselSF nominal: 0.067 up: 0.068 down: 0.066 vals: [0.985,1.015] 
PreselSF nominal: 0.034 up: 0.034 down: 0.033 vals: [0.987,1.013] 
PreselSF nominal: 0.054 up: 0.055 down: 0.054 vals: [0.988,1.012] 
PreselSF nominal: 0.003 up: 0.003 down: 0.003 vals: [0.984,1.016] 
PreselSF nominal: 0.541 up: 0.547 down: 0.535 vals: [0.989,1.011] 
PreselSF nominal: 0.010 up: 0.010 down: 0.010 vals: [0.985,1.015] 
PreselSF nominal: 0.013 up: 0.013 down: 0.013 vals: [0.989,1.011] 
PreselSF nominal: 0.000 up: 0.000 down: 0.000 vals: [1.068,0.930] 
PreselSF nominal: 0.000 up: 0.000 down: 0.000 vals: [0.987,1.013] 
PreselSF nominal: 0.216 up: 0.219 down: 0.214 vals: [0.988,1.012] 
PreselSF nominal: 0.007 up: 0.007 down: 0.006 vals: [0.983,1.018] 
PreselSF nominal: 0.003 up: 0.003 down: 0.003 vals: [0.984,1.016] 
MuonWeight nominal: 1.536 up: 1.536 down: 1.536 vals: [1.000,1.000] 
MuonWeight nominal: 0.203 up: 0.203 down: 0.203 vals: [1.000,1.000] 
MuonWeight nominal: 0.047 up: 0.047 down: 0.047 vals: [1.000,1.000] 
MuonWeight nominal: 0.150 up: 0.150 down: 0.150 vals: [1.000,1.000] 
MuonWeight nominal: 0.080 up: 0.080 down: 0.080 vals: [1.000,1.000] 
MuonWeight nominal: 25.466 up: 25.466 down: 25.466 vals: [1.000,1.000] 
MuonWeight nominal: 2.104 up: 2.104 down: 2.104 vals: [1.000,1.000] 
MuonWeight nominal: 0.233 up: 0.233 down: 0.233 vals: [1.000,1.000] 
MuonWeight nominal: 1.100 up: 1.100 down: 1.100 vals: [1.000,1.000] 
MuonWeight nominal: 0.626 up: 0.626 down: 0.626 vals: [1.000,1.000] 
MuonWeight nominal: 38.348 up: 38.348 down: 38.348 vals: [1.000,1.000] 
MuonWeight nominal: 2.020 up: 2.020 down: 2.020 vals: [1.000,1.000] 
MuonWeight nominal: 0.152 up: 0.152 down: 0.152 vals: [1.000,1.000] 
MuonWeight nominal: 1.006 up: 1.006 down: 1.006 vals: [1.000,1.000] 
MuonWeight nominal: 0.541 up: 0.541 down: 0.541 vals: [1.000,1.000] 
MuonWeight nominal: 37.723 up: 37.723 down: 37.723 vals: [1.000,1.000] 
MuonWeight nominal: 1.724 up: 1.724 down: 1.724 vals: [1.000,1.000] 
MuonWeight nominal: 0.162 up: 0.162 down: 0.162 vals: [1.000,1.000] 
MuonWeight nominal: 0.839 up: 0.839 down: 0.839 vals: [1.000,1.000] 
MuonWeight nominal: 0.475 up: 0.475 down: 0.475 vals: [1.000,1.000] 
MuonWeight nominal: 1.027 up: 1.027 down: 1.027 vals: [1.000,1.000] 
MuonWeight nominal: 1.848 up: 1.848 down: 1.848 vals: [1.000,1.000] 
MuonWeight nominal: 0.011 up: 0.011 down: 0.011 vals: [1.000,1.000] 
MuonWeight nominal: 0.020 up: 0.020 down: 0.020 vals: [1.000,1.000] 
MuonWeight nominal: 0.006 up: 0.006 down: 0.006 vals: [1.000,1.000] 
MuonWeight nominal: 2.102 up: 2.102 down: 2.102 vals: [1.000,1.000] 
MuonWeight nominal: 1.725 up: 1.725 down: 1.725 vals: [1.000,1.000] 
MuonWeight nominal: 0.027 up: 0.027 down: 0.027 vals: [1.000,1.000] 
MuonWeight nominal: 0.067 up: 0.067 down: 0.067 vals: [1.000,1.000] 
MuonWeight nominal: 0.034 up: 0.034 down: 0.034 vals: [1.000,1.000] 
MuonWeight nominal: 0.054 up: 0.054 down: 0.054 vals: [1.000,1.000] 
MuonWeight nominal: 0.003 up: 0.003 down: 0.003 vals: [1.000,1.000] 
MuonWeight nominal: 0.541 up: 0.541 down: 0.541 vals: [1.000,1.000] 
MuonWeight nominal: 0.010 up: 0.010 down: 0.010 vals: [1.000,1.000] 
MuonWeight nominal: 0.013 up: 0.013 down: 0.013 vals: [1.000,1.000] 
MuonWeight nominal: 0.000 up: 0.000 down: 0.000 vals: [0.976,1.024] 
MuonWeight nominal: 0.000 up: 0.000 down: 0.000 vals: [0.997,1.003] 
MuonWeight nominal: 0.216 up: 0.218 down: 0.214 vals: [0.990,1.010] 
MuonWeight nominal: 0.007 up: 0.007 down: 0.007 vals: [0.995,1.005] 
MuonWeight nominal: 0.003 up: 0.003 down: 0.003 vals: [0.996,1.004] 
electronVetoSF nominal: 1.536 up: 1.540 down: 1.532 vals: [0.997,1.003] 
electronVetoSF nominal: 0.203 up: 0.203 down: 0.202 vals: [0.997,1.003] 
electronVetoSF nominal: 0.047 up: 0.047 down: 0.047 vals: [0.997,1.003] 
electronVetoSF nominal: 0.150 up: 0.151 down: 0.150 vals: [0.997,1.003] 
electronVetoSF nominal: 0.080 up: 0.080 down: 0.080 vals: [0.997,1.003] 
electronVetoSF nominal: 25.466 up: 25.546 down: 25.387 vals: [0.997,1.003] 
electronVetoSF nominal: 2.104 up: 2.111 down: 2.097 vals: [0.997,1.003] 
electronVetoSF nominal: 0.233 up: 0.234 down: 0.232 vals: [0.997,1.003] 
electronVetoSF nominal: 1.100 up: 1.104 down: 1.096 vals: [0.996,1.004] 
electronVetoSF nominal: 0.626 up: 0.628 down: 0.624 vals: [0.996,1.004] 
electronVetoSF nominal: 38.348 up: 38.500 down: 38.197 vals: [0.996,1.004] 
electronVetoSF nominal: 2.020 up: 2.029 down: 2.011 vals: [0.996,1.004] 
electronVetoSF nominal: 0.152 up: 0.152 down: 0.151 vals: [0.996,1.004] 
electronVetoSF nominal: 1.006 up: 1.011 down: 1.002 vals: [0.995,1.005] 
electronVetoSF nominal: 0.541 up: 0.543 down: 0.539 vals: [0.996,1.004] 
electronVetoSF nominal: 37.723 up: 37.943 down: 37.503 vals: [0.994,1.006] 
electronVetoSF nominal: 1.724 up: 1.734 down: 1.713 vals: [0.994,1.006] 
electronVetoSF nominal: 0.162 up: 0.163 down: 0.161 vals: [0.995,1.005] 
electronVetoSF nominal: 0.839 up: 0.844 down: 0.834 vals: [0.994,1.006] 
electronVetoSF nominal: 0.475 up: 0.478 down: 0.472 vals: [0.994,1.006] 
